TIC,hostname,pl_name,sy_pnum,sy_snum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_orbper_tess,pl_orbpererr1_tess,pl_orbpererr2_tess,pl_tranmid_tess,pl_tranmiderr1_tess,pl_tranmiderr2_tess,obrparams_tess
120764338,Kepler-1495,Kepler-1495 b,1.0,1.0,85.273256,0.001954,-0.001954,2455015.3682,0.0204,-0.0204,,,,,,,0
120765183,Kepler-235,Kepler-235 b,4.0,1.0,3.3402220000000002,5e-06,-5e-06,2455004.97787,0.00084,-0.00084,,,,,,,0
120765800,Kepler-121,Kepler-121 b,2.0,1.0,3.177422,3e-06,-3e-06,2454967.47787,0.00047000000000000004,-0.00047000000000000004,,,,,,,0
120768052,Kepler-1599,Kepler-1599 b,1.0,1.0,122.363553,0.008968,-0.008968,2454967.3327,0.0367,-0.0367,,,,,,,0
120819731,Kepler-1691,Kepler-1691 b,1.0,1.0,3.8482,,,2454964.9203,0.003,-0.003,,,,,,,0
120821730,Kepler-1961,Kepler-1961 b,1.0,1.0,5.604710099999999,,,2454964.62861,0.00763,-0.00763,,,,,,,0
120825510,Kepler-1271,Kepler-1271 b,1.0,1.0,3.0255955,1.1599999999999999e-05,-1.1599999999999999e-05,2454967.3645,0.00351,-0.00351,,,,,,,0
120825566,Kepler-1854,Kepler-1854 b,1.0,1.0,39.83110046,,,2454988.6409,0.00474,-0.00474,,,,,,,0
120891972,Kepler-770,Kepler-770 c,3.0,1.0,1.47532231,4.19e-06,-4.19e-06,2454964.8332,0.00247,-0.00247,,,,,,,0
120892579,Kepler-1775,Kepler-1775 b,1.0,1.0,85.65399933,,,2454988.12743,0.0031899999999999997,-0.0031899999999999997,,,,,,,0
120893436,Kepler-1795,Kepler-1795 b,1.0,1.0,13.36019993,,,2454964.81294,0.00329,-0.00329,,,,,,,0
120896927,HD 15337,HD 15337 b,2.0,1.0,4.75615,0.00016999999999999999,-0.00016999999999999999,2458411.4615599997,0.0009400000000000001,-0.00119,4.7559737,1.85e-05,-1.85e-05,2459139.126535,0.0027010000000000003,-0.0027010000000000003,0
120899838,Kepler-1701,Kepler-1701 b,1.0,1.0,169.13400000000001,,,2455034.814934,0.004164,-0.004164,,,,,,,0
120899945,Kepler-242,Kepler-242 b,2.0,1.0,8.20395,2e-05,-2e-05,2455002.69117,0.00139,-0.00139,,,,,,,0
120900025,Kepler-1554,Kepler-1554 b,1.0,1.0,198.088774,0.002456,-0.002456,2455152.73061,0.00827,-0.00827,,,,,,,0
120960812,Kepler-25,Kepler-25 b,3.0,2.0,6.238297,1.7e-05,-1.7e-05,2455703.42004,0.00011999999999999999,-0.00011,6.2385799,3.8799999999999994e-05,-3.8799999999999994e-05,2458685.42027,0.0027559999999999998,-0.0027559999999999998,0
120961424,Kepler-277,Kepler-277 b,2.0,1.0,17.324,,,2454975.10839,0.0028239999999999997,-0.0028239999999999997,,,,,,,0
120961632,Kepler-473,Kepler-473 b,1.0,1.0,14.55731705,1.399e-05,-1.399e-05,2454978.094662,0.000763,-0.000763,,,,,,,0
120961712,Kepler-1535,Kepler-1535 b,1.0,1.0,138.9442,0.001214,-0.001214,2454986.90997,0.00632,-0.00632,,,,,,,0
120962548,Kepler-967,Kepler-967 b,2.0,1.0,13.22713379,2.209e-05,-2.209e-05,2454975.20334,0.0013800000000000002,-0.0013800000000000002,,,,,,,0
120963454,Kepler-1124,Kepler-1124 b,1.0,1.0,2.85234897,3.03e-06,-3.03e-06,2454965.0443169996,0.000872,-0.000872,,,,,,,0
120964116,Kepler-1224,Kepler-1224 b,1.0,1.0,13.32351601,7.281e-05,-7.281e-05,2454967.03469,0.0045,-0.0045,,,,,,,0
120973167,Kepler-1655,Kepler-1655 b,1.0,1.0,11.8728787,8.5e-06,-8.5e-06,2455013.89795,0.0006900000000000001,-0.0006900000000000001,,,,,,,0
121013472,Kepler-1567,Kepler-1567 b,1.0,1.0,153.979578,0.0017850000000000001,-0.0017850000000000001,2454998.4896,0.0109,-0.0109,,,,,,,0
121020728,Kepler-790,Kepler-790 b,1.0,1.0,13.73469807,4.026e-05,-4.026e-05,2454975.33085,0.00255,-0.00255,,,,,,,0
121021644,Kepler-1187,Kepler-1187 b,1.0,1.0,18.87064068,6.002e-05,-6.002e-05,2454976.95521,0.00257,-0.00257,,,,,,,0
121022533,Kepler-575,Kepler-575 b,1.0,1.0,9.37891944,2.371e-05,-2.371e-05,2455009.4519,0.00207,-0.00207,,,,,,,0
121085785,Kepler-1728,Kepler-1728 b,1.0,1.0,4.78299999,,,2455003.5083520003,0.0009109999999999999,-0.0009109999999999999,,,,,,,0
121108727,Kepler-475,Kepler-475 b,1.0,1.0,3.10550819,1.04e-06,-1.04e-06,2454966.210436,0.000275,-0.000275,,,,,,,0
121112251,Kepler-518,Kepler-518 b,1.0,1.0,8.51203588,4.5e-06,-4.5e-06,2455007.9097990002,0.000424,-0.000424,,,,,,,0
121113728,Kepler-1227,Kepler-1227 b,1.0,1.0,94.2887577,0.0005872999999999999,-0.0005872999999999999,2454999.51295,0.0050100000000000006,-0.0050100000000000006,,,,,,,0
121114760,Kepler-776,Kepler-776 b,1.0,1.0,4.89718784,1.969e-05,-1.969e-05,2454966.4021799997,0.00309,-0.00309,,,,,,,0
121114997,Kepler-700,Kepler-700 b,1.0,1.0,80.87206390000001,0.0001727,-0.0001727,2455036.89696,0.00146,-0.00146,,,,,,,0
121121775,Kepler-1185,Kepler-1185 b,1.0,1.0,104.35189759999999,0.0006705,-0.0006705,2455023.10231,0.00528,-0.00528,,,,,,,0
121123361,Kepler-543,Kepler-543 b,1.0,1.0,13.89961966,1.102e-05,-1.102e-05,2455015.8652709997,0.0006259999999999999,-0.0006259999999999999,,,,,,,0
121123737,Kepler-1464,Kepler-1464 c,2.0,1.0,5.32786292,5.389e-05,-5.389e-05,2454966.5483,0.00642,-0.00642,,,,,,,0
121124617,Kepler-1898,Kepler-1898 b,1.0,1.0,4.76562023,,,2454966.5038,0.0034,-0.0034,,,,,,,0
121214078,Kepler-467,Kepler-467 b,1.0,1.0,24.99324193,6.498e-05,-6.498e-05,2454971.68238,0.00212,-0.00212,,,,,,,0
121214185,Kepler-21,Kepler-21 b,1.0,2.0,2.78578,2.9999999999999997e-05,-2.9999999999999997e-05,2456798.7188,0.0001,-0.0001,,,,,,,0
121214909,Kepler-796,Kepler-796 b,1.0,1.0,6.40087618,2.313e-05,-2.313e-05,2454969.8810900003,0.00278,-0.00278,,,,,,,0
121215172,Kepler-1143,Kepler-1143 b,2.0,1.0,2.88890485,6.94e-06,-6.94e-06,2454965.15279,0.0018100000000000002,-0.0018100000000000002,,,,,,,0
121215333,Kepler-1808,Kepler-1808 b,1.0,1.0,23.3404007,,,2454969.20836,0.00328,-0.00328,,,,,,,0
121215710,Kepler-1581,Kepler-1581 b,1.0,1.0,6.28385491,4.246e-05,-4.246e-05,2454966.19997,0.00564,-0.00564,,,,,,,0
