istart,istop,cstart,cstop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,total_n_valid_data_points,ID,qcs,mission,tstamp,dur_detrend,lc_n,real?,note
75715,75718,3811858,3811861,2109.82892061579,2109.82961507262,1.42559081157765,0.073513330007091,0.04018011690188,0.000694456829933,87197,LHS 1815,29,TESS,05_02_2021_09_16_04,50.1567490000002,0,1,
53173,53176,3673717,3673720,2077.85129254437,2077.85198699981,1.06116523113258,0.082067549270725,0.022345491737528,0.00069445543204,86275,LHS 1815,28,TESS,05_02_2021_09_14_35,58.1329470000001,0,1,
7206,7209,3611806,3611809,2063.51985662497,2063.5205510786,1.49775176258925,0.083793201827077,0.033124380299867,0.000694453625783,86275,LHS 1815,28,TESS,05_02_2021_09_14_35,58.1329470000001,0,1,
,,,,,,,,,,17873,LHS 1815,1,TESS,05_02_2021_09_08_22,2.73540600000001,0,,
,,,,,,,,,,18016,LHS 1815,2,TESS,05_02_2021_09_08_42,2.69737399999985,0,,
,,,,,,,,,,13302,LHS 1815,3,TESS,05_02_2021_09_09_09,1.87324699999999,0,,
,,,,,,,,,,15552,LHS 1815,4,TESS,05_02_2021_09_09_31,3.86235099999976,0,,
,,,,,,,,,,17605,LHS 1815,5,TESS,05_02_2021_09_09_56,6.40551200000027,0,,
,,,,,,,,,,16119,LHS 1815,7,TESS,05_02_2021_09_10_23,2.31264599999986,0,,
,,,,,,,,,,13218,LHS 1815,8,TESS,05_02_2021_09_10_45,2.22650199999998,0,,
,,,,,,,,,,15463,LHS 1815,9,TESS,05_02_2021_09_11_06,2.32330500000035,0,,
,,,,,,,,,,15306,LHS 1815,10,TESS,05_02_2021_09_11_28,2.31418900000017,0,,
