Kepler,Kepler-471,TIC 268604331,03,short
Kepler,Kepler-471,TIC 268604331,07,short
Kepler,Kepler-803,TIC 268608781,09,short
Kepler,Kepler-5,TIC 268823307,02,short
Kepler,Kepler-5,TIC 268823307,09,short
Kepler,Kepler-5,TIC 268823307,08,short
Kepler,Kepler-5,TIC 268823307,07,short
Kepler,Kepler-5,TIC 268823307,03,short
Kepler,Kepler-5,TIC 268823307,04,short
Kepler,Kepler-5,TIC 268823307,05,short
Kepler,Kepler-5,TIC 268823307,06,short
Kepler,Kepler-462,TIC 269263577,03,short
Kepler,Kepler-462,TIC 269263577,09,short
Kepler,Kepler-462,TIC 269263577,08,short
Kepler,Kepler-462,TIC 269263577,07,short
Kepler,Kepler-462,TIC 269263577,06,short
Kepler,Kepler-462,TIC 269263577,05,short
Kepler,Kepler-462,TIC 269263577,04,short
Kepler,Kepler-267,TIC 269357457,09,short
Kepler,Kepler-533,TIC 26962715,06,short
Kepler,Kepler-533,TIC 26962715,07,short
Kepler,Kepler-114,TIC 27011135,03,short
Kepler,Kepler-114,TIC 27011135,09,short
Kepler,Kepler-114,TIC 27011135,04,short
Kepler,Kepler-114,TIC 27011135,05,short
Kepler,Kepler-114,TIC 27011135,06,short
Kepler,Kepler-114,TIC 27011135,07,short
Kepler,Kepler-114,TIC 27011135,08,short
Kepler,Kepler-81,TIC 270611154,07,short
Kepler,Kepler-81,TIC 270611154,08,short
Kepler,Kepler-57,TIC 270615136,09,short
