istart,istop,cstart,cstop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,total_n_valid_data_points,ID,qcs,mission,tstamp,dur_detrend,lc_n
8515,8518,3614136,3614139,2064.0624491632752,2064.0631436162594,19.356065215704326,0.06426815205208745,0.8415663724313736,0.0006944529841348412,86636.0,TOI-125,28,TESS,04_02_2021_12_09_49,52.83829800000001,0
,,,,,,,,,,14426,TOI-125,28,TESS,04_02_2021_12_09_53,2.3123019999999315,1
,,,,,,,,,,13909,WASP-64,6,TESS,04_02_2021_12_10_10,1.555831000000012,0
,,,,,,,,,,15335,WASP-64,7,TESS,04_02_2021_12_10_31,1.8300819999999476,0
,,,,,,,,,,15232,WASP-106,9,TESS,04_02_2021_12_10_50,2.657077999999956,0
,,,,,,,,,,15340,WASP-66,9,TESS,04_02_2021_12_11_08,2.6107820000000856,0
,,,,,,,,,,95336,NGTS-11,30,TESS,04_02_2021_12_12_34,57.53028100000006,0
,,,,,,,,,,15736,NGTS-11,30,TESS,04_02_2021_12_12_37,2.365312000000017,1
,,,,,,,,,,14572,KELT-11,9,TESS,04_02_2021_12_12_58,3.3033440000000382,0
,,,,,,,,,,15795,TOI-813,4,TESS,04_02_2021_12_13_24,3.5053010000000313,0
,,,,,,,,,,17528,TOI-813,5,TESS,04_02_2021_12_13_48,6.396368000000052,0
,,,,,,,,,,14825,TOI-813,6,TESS,04_02_2021_12_14_07,2.0443689999999606,0
,,,,,,,,,,13061,TOI-813,8,TESS,04_02_2021_12_14_29,4.36990000000003,0
,,,,,,,,,,14967,TOI-813,9,TESS,04_02_2021_12_14_47,2.662510999999995,0
,,,,,,,,,,15547,TOI-813,10,TESS,04_02_2021_12_15_09,2.332000999999991,0
,,,,,,,,,,15732,TOI-813,11,TESS,04_02_2021_12_15_29,2.1804819999999836,0
,,,,,,,,,,19099,TOI-813,12,TESS,04_02_2021_12_15_52,4.051935000000071,0
