istart,istop,cstart,cstop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,total_n_valid_data_points,ID,qcs,mission,tstamp,dur_detrend,lc_n,real?,note,final
10506,10510,82076,82080,1341.4554342495,1341.46098966225,0.309265399107622,0.040267115343267,0.000957319930252,0.005555412750709,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
10628,10631,82198,82201,1341.6248743228,1341.62904088178,0.254045233814258,0.031959211074992,0.00079810968247,0.004166558980842,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
10871,10876,82452,82457,1341.97764292329,1341.98458718608,0.664332036063732,0.030748698737899,0.001806354920147,0.006944262794377,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,has gradual spot as a tail,0
11311,11314,82903,82906,1342.60401526147,1342.60818181719,0.268232364312189,0.029831235403053,0.000972306635221,0.004166555720758,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
11960,11970,83553,83563,1343.50676867106,1343.52065717932,2.40681622609491,0.045713869500653,0.003492026723154,0.013888508266518,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
12643,12648,84249,84254,1344.47340843454,1344.48035268262,0.369541235830464,0.040959914114767,0.00092826786579,0.006944248080345,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
12674,12680,84280,84286,1344.51646277133,1344.52479586865,0.681286059355456,0.042326711934842,0.001610283207804,0.00833309732252,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
12686,12691,84292,84298,1344.53312896598,1344.5414620633,0.668232719833781,0.049144675628048,0.001761711269331,0.008333097323202,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
12835,12841,84454,84460,1344.75812256622,1344.76645566168,0.294566424910889,0.033799773118836,0.00065646671302,0.008333095459648,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,0.5,marginal detection,0
12876,12888,84495,84507,1344.8150653838,1344.83173157332,1.3703346193495,0.049330554229783,0.001759496887774,0.016666189523903,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
13018,13027,84637,84646,1345.01228194609,1345.02478158648,0.889464281022923,0.043533999992677,0.001769642622242,0.012499640395618,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
13163,13172,84782,84791,1345.21366502041,1345.22616465818,0.649315213196424,0.054980793814445,0.000784531214205,0.012499637770361,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,Gradual like a spot,0
13220,13223,84839,84842,1345.29282939063,1345.29699593609,0.326147207679661,0.026473073926253,0.001072472699797,0.004166545459157,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,has a secondary shortly after decay,1
13292,13303,84911,84922,1345.39282648115,1345.40810381372,3.04396606262628,0.037995246434567,0.00632869150022,0.015277332569667,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,0
13312,13328,84931,84947,1345.42060344916,1345.44282502292,3.77304809792621,0.069752300042384,0.003137855820908,0.022221573757179,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,0
13375,13414,84994,85033,1345.50810089353,1345.56226597424,12.5912212009387,0.034187019657142,0.006679767570263,0.054165080707662,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,has tail,0
13608,13616,85227,85235,1345.83170248847,1345.84281327092,0.683685035633056,0.052537869567512,0.001088645095537,0.01111078245367,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
13755,13763,85374,85382,1346.03586309996,1346.04697388008,1.22931203793517,0.043274780604317,0.002324689926612,0.011110780126273,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
13865,13893,85484,85512,1346.18863631994,1346.22752404526,6.78837989981015,0.0534744998968,0.004700261475243,0.038887725320365,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
13930,13935,85549,85554,1346.27891139439,1346.28585563045,0.540869537858268,0.038800399249553,0.001420701720106,0.00694423606501,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
14066,14071,85685,85690,1346.46779460159,1346.47473883672,0.358415279043428,0.037811681478267,0.000929431182003,0.006944235134142,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
14103,14116,85722,85735,1346.51918193907,1346.53723694874,7.18598104107831,0.04776431309535,0.012618171674549,0.018055009672935,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
