"TIC","ID","mission","quarter_or_sector","tstart","tstop","rel_amplitude","ED","ED_err","orbital_phase","timestamp"
48353358,"Kepler-1651","Kepler",16,1553.63551832593,1553.64437305481,0.018081038602686,5.67964531831401,0.110153918788396,0.26091932314796,"2022_08_02"
48353358,"Kepler-1651","Kepler",16,1553.38622189299,1553.40393144925,0.019029235198815,14.174875201133,0.227223016401702,0.235683414775794,"2022_08_02"
48353358,"Kepler-1651","Kepler",16,1546.12121660978,1546.13279587613,0.006871168713237,3.1935071901233,0.155119890333642,0.500257698926132,"2022_08_02"
48353358,"Kepler-1651","Kepler",16,1528.91442911996,1528.91987820157,0.004152107108688,1.38140140954545,0.129892433429133,0.758440107078583,"2022_08_02"
48353358,"Kepler-1651","Kepler",16,1528.19243104479,1528.21218393321,0.022172251403485,11.2118372591888,0.199955130721896,0.685353312152272,"2022_08_02"
48353358,"Kepler-1651","Kepler",16,1527.61823844967,1527.62845549577,0.019745857392986,8.67919528195514,0.182575418230585,0.627228646878647,"2022_08_02"
48353358,"Kepler-1651","Kepler",16,1510.41229734592,1510.42115188678,0.032926174207739,7.73073212354576,0.127560927419673,0.885496733437849,"2022_08_02"
48353358,"Kepler-1651","Kepler",15,1463.72808591369,1463.73012926922,0.002095036894598,0.351921002758764,0.056354066386245,0.159723210501487,"2022_08_02"
48353358,"Kepler-1651","Kepler",16,1504.93607463672,1504.94152364416,0.025258713912037,5.17846417594153,0.136334947073934,0.331146826030547,"2022_08_02"
48353358,"Kepler-1651","Kepler",16,1491.71829080613,1491.7305508258,0.030739052263973,10.2027763442675,0.20874105090101,0.99313016167788,"2022_08_02"
48353358,"Kepler-1651","Kepler",16,1490.93024005599,1490.9459057461,0.013668425063808,6.68004093056645,0.235516736745305,0.913356952374648,"2022_08_02"
48353358,"Kepler-1651","Kepler",15,1470.48398100351,1470.49283534013,0.004683447083658,1.89686907443527,0.115292613755742,0.843612456131637,"2022_08_02"
48353358,"Kepler-1651","Kepler",15,1469.93432722263,1469.94454383124,0.017958701777772,5.08918158934791,0.110764133918391,0.787971818648293,"2022_08_02"
48353358,"Kepler-1651","Kepler",15,1468.82820915201,1468.83365794688,0.00389417417719,1.14629243763922,0.081727211336696,0.676001125966691,"2022_08_02"
48353358,"Kepler-1651","Kepler",15,1468.657932344,1468.65997570436,0.003505789985789,0.491124501809391,0.054769473342487,0.658764257094726,"2022_08_02"
48353358,"Kepler-1651","Kepler",15,1466.92247251498,1466.92451577365,0.004233515384811,0.578637748716382,0.049336377132253,0.483086231087981,"2022_08_02"
48353358,"Kepler-1651","Kepler",16,1498.16370115247,1498.18481579566,0.007025787192296,8.2791596061648,0.3299387565479,0.645589496958556,"2022_08_02"
48353358,"Kepler-1651","Kepler",15,1396.79580046365,1396.8032924207,0.004070945284135,1.76369624968683,0.102302688207334,0.384267168610736,"2022_08_02"
48353358,"Kepler-1651","Kepler",15,1395.71898429035,1395.72579527079,0.010549233197067,2.850570366871,0.094867623261284,0.275262663559387,"2022_08_02"
48353358,"Kepler-1651","Kepler",15,1395.07534640762,1395.0794329763,0.00390702951392,0.883450756054715,0.076497660833341,0.210108154760024,"2022_08_02"
48353358,"Kepler-1651","Kepler",14,1296.57441639856,1296.57714092929,0.004195231502965,0.762980899029126,0.070780573862691,0.239005018591873,"2022_08_02"
48353358,"Kepler-1651","Kepler",14,1312.12041757615,1312.12382308779,0.004560285174301,0.929116387051244,0.07396942916208,0.812703673848456,"2022_08_02"
48353358,"Kepler-1651","Kepler",14,1313.02018011692,1313.02290452483,0.005321538343611,0.820130351550285,0.059410282716695,0.903785302125465,"2022_08_02"
48353358,"Kepler-1651","Kepler",14,1314.54453075955,1314.54725516537,0.009909956913111,1.36324033644068,0.057853665208407,0.058093058123207,"2022_08_02"
48353358,"Kepler-1651","Kepler",14,1315.18342270659,1315.20113183802,0.028097296685072,13.1874034668216,0.140438353984163,0.122767142887958,"2022_08_02"
