tstamp,period,sector,subsample,D+,p+,D-,p-,D,p,nflares,totobs_days,phaseshift
2021-11-10,Beat Period,Sector 27,total,0.064434359604539,0.372097539146158,0.02213707115629,0.881386362933243,0.064434359604539,0.706464393978267,114,23.3185185185185,0.1
2021-11-10,Beat Period,Sector 27,total,0.004342599868477,0.992913974608553,0.082228830892352,0.202740826874147,0.082228830892352,0.402187912594441,114,23.3185185185185,0.2
2021-11-10,Beat Period,Sector 27,total,0.027724892162108,0.824151860287785,0.058846538598721,0.436991070772096,0.058846538598721,0.802627637537184,114,23.3185185185185,0.3
2021-11-10,Beat Period,Sector 27,total,0.035958677467175,0.727404126756769,0.050612753293653,0.539570903651225,0.050612753293653,0.917704385203601,114,23.3185185185185,0.4
2021-11-10,Beat Period,Sector 27,total,0.013287467397847,0.952277354624871,0.073283963362982,0.28014695001115,0.073283963362982,0.548185476535616,114,23.3185185185185,0.5
2021-11-10,Beat Period,Sector 27,total,0.027146343264451,0.830448645946894,0.059425087496378,0.430062809564465,0.059425087496378,0.793125719708332,114,23.3185185185185,0.6
2021-11-10,Beat Period,Sector 27,total,0.014831889921755,0.94186348157891,0.071739540839074,0.295135515346211,0.071739540839074,0.575343393823169,114,23.3185185185185,0.7
2021-11-10,Beat Period,Sector 27,total,0.052101445640786,0.520580171608899,0.034469985120043,0.745717367204337,0.052101445640786,0.900277439194827,114,23.3185185185185,0.8
2021-11-10,Beat Period,Sector 27,total,0.052575848770592,0.514560492338062,0.033995581990236,0.751489154519806,0.052575848770592,0.894369067870557,114,23.3185185185185,0.9
2021-11-10,Beat Period,Both Sectors,high energy half,0.110689736333249,0.163154901974008,0.042721028822052,0.750594720293172,0.110689736333249,0.324966430339277,71,48.4490740740741,0
2021-11-10,Beat Period,Both Sectors,high energy half,0.111120611689221,0.160903812111095,0.042290153466079,0.754712191615318,0.111120611689221,0.320537979962616,71,48.4490740740741,0.1
2021-11-10,Beat Period,Both Sectors,high energy half,0.107361569224532,0.181311090871494,0.046049195930768,0.718229795493981,0.107361569224532,0.360560321881201,71,48.4490740740741,0.2
2021-11-10,Beat Period,Both Sectors,high energy half,0.091639798144845,0.285894676657779,0.061770967010455,0.558922820520731,0.091639798144845,0.55876997001921,71,48.4490740740741,0.3
2021-11-10,Beat Period,Both Sectors,high energy half,-2.22044604925031E-16,1,0.153410765155301,0.031684817679768,0.153410765155301,0.063368005188994,71,48.4490740740741,0.4
